Symbols,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL
TOP2A,3.874718571,4.43625377,5.14549431,4.003807142,3.660509781,6.623115615,4.580778622,9.723614752,5.08379023,6.013417602,6.247851597,11.09135651,7.579606852,8.972430072
TOP2A,4.807641647,5.208435583,6.458807994,5.12033769,5.003906701,7.626773503,6.320767855,11.03320618,6.640655551,7.457590543,7.791218502,11.87435128,8.771603128,10.21998753
FHL1,12.21315591,11.21879452,8.7353363,10.65020402,9.439190638,6.374555076,7.382695959,6.564667967,7.900342835,5.825849673,6.556571094,6.150116888,6.993134201,8.10022622
FHL1,13.96906622,13.62193458,11.80930396,13.60377443,13.69172938,10.05201309,10.99134357,9.989776829,11.67396508,8.828537253,9.882143357,9.455902283,11.1141506,11.76760497
KRT19,5.636189961,9.767235316,12.13238589,5.358007846,9.547905732,12.76988247,12.17339948,11.96315163,11.36991005,12.65328195,11.95125973,11.90823284,12.33777044,12.51768795
EPCAM,4.959927751,9.002353772,11.29267577,4.822360904,8.407441568,11.00367049,11.28280804,11.49830406,11.86236332,12.09653715,12.28662718,12.54278212,11.95161201,12.86442224
RRM2,3.469957922,4.59122991,6.329343247,3.614241952,4.893573682,9.338418499,6.603928186,9.835869153,8.581070494,9.849976141,9.356494451,9.540371172,10.50213987,10.40512895
ERBB3,3.924434958,7.323993482,8.902371426,4.055992511,7.199477828,9.349410746,10.40096309,9.470507009,8.726965748,9.792776963,10.10894882,9.943209593,9.085707117,9.242638203
PCLAF,5.062444452,6.469669907,8.390113551,4.448117932,5.922342162,10.07770454,7.909319502,10.71993535,8.66331411,10.04031978,9.963453831,10.68819137,10.11467031,10.02587163
LPL,13.60681906,12.87612504,11.20354542,13.53366902,13.38116026,8.10326183,9.031848345,7.990239667,10.78379596,6.215954162,8.317706459,7.241159174,8.947278645,10.26695716
LPL,13.44102707,12.76688458,11.6593442,13.61282675,13.62748302,8.615169598,9.283413495,8.555097388,11.16253968,7.214011705,8.655492608,7.864825207,9.321616913,10.50034437
CEACAM6,4.316913172,5.033665791,4.654787318,4.959366785,5.233130622,9.08815941,9.222801795,12.45013132,8.711486997,9.635088658,10.82787995,13.02640726,10.96598759,10.68660537
FABP4,14.59204627,14.40040416,13.0579308,14.63060858,14.47624089,11.5264112,11.62368687,11.29728642,13.96914201,8.824684707,10.74115933,9.127900849,12.00318519,13.50408406
AKR1C1,13.49511283,12.94809927,11.09877089,13.19108865,13.60230047,8.754632425,9.422622012,8.767236198,9.99103048,7.565603697,8.963952665,7.788124641,10.41988843,10.34738396
COL11A1,3.821664901,4.317038485,5.420823559,4.021078231,5.358104439,9.027146481,8.87299848,5.276603536,7.64414261,7.844391689,6.070843767,6.949432335,8.262401739,6.501470495
S100P,5.832013786,6.686048118,5.466271717,6.55241191,6.03745076,10.15914731,9.080645723,11.80754155,7.780370457,12.40702846,11.16268739,12.94725022,11.02874907,6.959357174
MAOA,10.67995027,9.917746323,7.71503241,10.42581718,10.35117904,6.703214485,6.612154949,5.705815845,5.736141343,5.666199008,5.27430208,5.003230313,5.878815966,7.24220395
MAOA,9.885040865,9.396869937,6.892819224,9.819184199,9.579641699,6.457060083,5.892200677,5.758681771,5.890991532,5.878815966,5.715210866,5.471503345,5.817914833,6.729912944
MMP12,3.512396533,3.932621559,3.903027024,4.325438496,4.100994423,9.124144382,4.03589534,9.074421272,10.91674477,9.796558755,10.01057789,9.10120089,10.27058651,4.58408819
FOXA1,3.72959079,5.603115319,5.154020393,3.71564633,4.853478976,8.597180765,8.2576592,8.312585986,7.411226885,8.571549559,7.812813909,8.87753065,7.859473443,3.879894596
SOX11,3.980234327,4.357095633,5.105271625,4.328959906,4.605414526,6.812305196,4.324301892,8.898355969,4.448810492,10.53602144,7.775093645,9.245928407,11.65671733,7.048738161
SOX11,4.317293703,4.573674316,5.14549431,4.451963464,4.735979696,6.424229191,5.037274731,8.223346045,5.221219209,9.922146121,7.15526766,9.327564067,11.56104271,7.20033772
SOX11,4.71988395,5.191951012,4.963767857,5.085843265,5.393792411,5.428554229,5.418933322,7.363286607,5.294026392,9.423810851,6.440091158,8.401878276,10.5618635,6.962416587
ALDH3B2,4.366706507,4.678299569,5.030721065,4.440722155,4.640094958,5.04615831,4.668003447,5.643451753,6.202153964,5.482605332,5.454570188,5.615511953,5.351666677,5.034918834
ALDH3B2,4.902201137,5.735955948,7.087759577,4.864403081,6.116190678,8.791139009,6.59256474,9.385226551,10.73174571,9.137344456,9.440842751,9.881869553,9.815958269,8.146083609
