probes,Symbols,Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
238617_at,KIF26B,238617_at,-2.859875891,6.422807387,-6.299342427,2.32e-05,0.001092425,2.930946305
209763_at,CHRDL1,209763_at,2.859304201,9.66660922,8.164554961,1.39e-06,0.000260995,5.695686585
229024_at,RNF150,229024_at,2.853394953,6.714485942,7.79612533,2.35e-06,0.000323945,5.188540177
202525_at,PRSS8,202525_at,-2.847244124,7.821501202,-5.128362261,0.000172633,0.00372118,0.936258021
229490_s_at,NA,229490_s_at,-2.84417095,6.016523873,-6.115147085,3.14e-05,0.001323217,2.630421331
210096_at,CYP4B1,210096_at,2.842886607,6.523089875,4.560590525,0.000487831,0.007293459,-0.097838543
224461_s_at,AIFM2,224461_s_at,2.841205418,7.862946799,7.583714755,3.19e-06,0.000376085,4.887710161
228268_at,FMO2,228268_at,2.837781313,8.563095644,13.18691283,4.33e-09,2.96e-05,11.07545019
216331_at,ITGA7,216331_at,2.835944152,8.508711306,7.866798376,2.12e-06,0.000314602,5.287250665
209771_x_at,CD24,209771_x_at,-2.835032526,12.09435679,-4.354277736,0.000718425,0.009536271,-0.482525796
238062_at,GPIHBP1,238062_at,2.83284048,7.288106919,10.116823,1.13e-07,8.62e-05,8.097433405
210375_at,PTGER3,210375_at,2.823135056,6.190444205,6.459711123,1.79e-05,0.000944412,3.188494153
208083_s_at,NA,208083_s_at,-2.821827305,6.067071363,-5.072935476,0.000190711,0.003953582,0.837067897
227177_at,CORO2A,227177_at,-2.818182962,7.295695683,-9.798731091,1.66e-07,0.000100924,7.736593258
203680_at,PRKAR2B,203680_at,2.814436372,9.952435109,7.010841452,7.53e-06,0.000578129,4.044600064
223423_at,GPR160,223423_at,-2.81092422,9.016886634,-8.857095241,5.47e-07,0.00016509,6.600637494
225687_at,FAM83D,225687_at,-2.810171815,5.95292061,-5.532955125,8.45e-05,0.002339222,1.647691263
231050_at,PLAAT5,231050_at,2.806795428,7.009671447,6.757239629,1.12e-05,0.000718748,3.656219731
217028_at,CXCR4,217028_at,-2.804941647,9.937926569,-5.924412993,4.32e-05,0.001556185,2.313931757
206030_at,ASPA,206030_at,2.804631595,6.253778754,5.712117332,6.2e-05,0.001940068,1.955374999
202464_s_at,PFKFB3,202464_s_at,2.804042161,9.54548195,9.276804425,3.18e-07,0.000148336,7.119874326
204719_at,ABCA8,204719_at,2.802733629,9.227151884,9.11662289,3.9e-07,0.000153216,6.924221304
209581_at,PLAAT3,209581_at,2.795309691,9.767315688,7.840549278,2.2e-06,0.000314659,5.25066794
232313_at,TMEM132C,232313_at,2.793670268,7.585497797,8.078486922,1.57e-06,0.000276348,5.578852304
209016_s_at,KRT7,209016_s_at,-2.793287277,9.487441221,-3.5152623,0.00361091,0.028571131,-2.077550663
229985_at,BTNL9,229985_at,2.793230727,7.853093552,10.25480606,9.63e-08,8.36e-05,8.250552027
237154_at,HSD11B1-AS1,237154_at,2.791528877,7.001139852,7.048726476,7.11e-06,0.000563009,4.101812899
204653_at,TFAP2A,204653_at,-2.790042467,9.380148747,-3.693038794,0.002554089,0.022574331,-1.737323737
204170_s_at,CKS2,204170_s_at,-2.788785742,7.841559707,-6.995649381,7.71e-06,0.000581282,4.021598801
214290_s_at,NA,214290_s_at,-2.788495593,10.49873238,-4.810514564,0.000307265,0.005402609,0.362123484
236936_at,NA,236936_at,2.786432864,5.715435348,10.65461375,6.06e-08,6.63e-05,8.682949917
214414_x_at,NA,214414_x_at,2.785273272,12.65565006,7.449073872,3.89e-06,0.000422035,4.693759021
213071_at,DPT,213071_at,2.7840882,9.454344302,5.683020292,6.52e-05,0.00199866,1.905719802
223727_at,KCNIP2,223727_at,2.780300543,7.735519625,6.345105358,2.16e-05,0.001050652,3.004829805
227657_at,RNF150,227657_at,2.777039408,7.410174967,8.869315082,5.38e-07,0.00016509,6.61605883
209218_at,SQLE,209218_at,-2.772985827,8.332021058,-6.285207766,2.38e-05,0.001106049,2.908063249
205792_at,CCN5,205792_at,2.767116777,8.872821065,5.236065386,0.000142425,0.003302421,1.127834112
219918_s_at,ASPM,219918_s_at,-2.765262276,5.778352219,-6.014792391,3.72e-05,0.001444151,2.464570405
